Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,141,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:19.6096140Z
1,142,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:21.7146066Z
1,143,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:23.8154609Z
1,144,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:25.9156690Z
1,145,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:28.0110963Z
1,146,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:30.1094349Z
1,147,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:32.2024877Z
1,148,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:34.3024119Z
1,149,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:36.3991617Z
1,150,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:38.5037596Z
1,151,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:40.6048775Z
1,152,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:42.7021512Z
1,153,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:44.8060027Z
1,154,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:46.9006941Z
1,155,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:49.0007676Z
1,156,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:51.0973312Z
1,157,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:53.2033364Z
1,158,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:55.3081026Z
1,159,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:57.4100413Z
1,160,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:59.5139384Z
1,161,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:01.6067834Z
1,162,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:03.7111730Z
1,163,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:05.8077761Z
1,164,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:07.9098126Z
1,165,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:10.0028796Z
1,166,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:12.0953411Z
1,167,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:14.1922340Z
1,168,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:16.2902380Z
1,169,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:18.3866844Z
1,170,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:20.4931257Z
1,171,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:22.5900059Z
1,172,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:24.6923454Z
1,173,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:26.7842829Z
1,174,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:28.8892292Z
1,175,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:31.1902864Z
1,176,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:33.2906602Z
1,177,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:35.3893603Z
1,178,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:37.4820853Z
1,179,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:39.5733207Z
1,180,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:41.6695204Z
1,181,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:43.7610723Z
1,182,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:45.8590260Z
1,183,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:47.9489026Z
1,184,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:50.0473756Z
1,185,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:52.1404773Z
1,186,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:54.2428752Z
1,187,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:56.3408726Z
1,188,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:21:58.4433958Z
1,189,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:00.5468486Z
1,190,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:02.6387064Z
1,191,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:04.7455962Z
1,192,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:06.8446354Z
1,193,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:08.9376997Z
1,194,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:11.0279665Z
1,195,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:13.1305200Z
1,196,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:15.2358644Z
1,197,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:17.3376759Z
1,198,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:19.4344842Z
1,199,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:21.5306228Z
1,200,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:23.6246908Z
1,201,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:25.7188192Z
1,202,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:27.8175244Z
1,203,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:29.9141719Z
1,204,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:32.0073594Z
1,205,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:34.1125658Z
1,206,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:36.2166126Z
1,207,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:38.3145522Z
1,208,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:40.4180113Z
1,209,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:42.5106640Z
1,210,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:44.6017053Z
1,211,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:46.7010016Z
1,212,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:48.8008325Z
1,213,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:50.9005302Z
1,214,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:53.0053009Z
1,215,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:55.1118350Z
1,216,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:57.2069438Z
1,217,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:22:59.3055139Z
1,218,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:01.3982369Z
1,219,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:03.5004182Z
1,220,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:05.6023255Z
1,221,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:07.6918961Z
1,222,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:09.7934724Z
1,223,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:11.8964235Z
1,224,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:13.9899785Z
1,225,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:16.0865569Z
1,226,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:18.1914132Z
1,227,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:20.2825808Z
1,228,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:22.3861961Z
1,229,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:24.4765855Z
1,230,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:26.5728381Z
1,231,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:28.6690248Z
1,232,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:30.7695889Z
1,233,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:33.0587948Z
1,234,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:35.1556122Z
1,235,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:37.2542775Z
1,236,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:39.3513195Z
1,237,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:41.4458406Z
1,238,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:43.5439647Z
1,239,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:45.6386968Z
1,240,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:47.7364390Z
1,241,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:49.8360083Z
1,242,2,1,2.0000,2.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:51.9323962Z
1,243,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:54.0254663Z
1,244,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:56.1264273Z
1,245,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:23:58.2231507Z
1,246,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:00.3165573Z
1,247,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:02.4059658Z
1,248,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:04.4982027Z
1,249,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:06.6025903Z
1,250,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:08.6935452Z
1,251,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:10.7959325Z
1,252,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:12.8957407Z
1,253,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:14.9991591Z
1,254,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:24:17.1036216Z
